Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
WASHC1.13,460422.94,1048794.8,125634.234,730489.8,490568.56,1083335.6,878425.56,1124719.8,1065694.9,1807728,1146735,265133.9,434171.03,164651.2,879304.4,664647.75,183899,524108.06,1092978.9,583543.06
YTHDF3.7,133657.38,373533.38,31401.1,206056.67,764774.1,1313851.1,169195.6,655477.4,542636.6,1771704.5,884074,807929.94,599710.5,286518.2,983650.6,669662.44,485703.06,532368.6,1489106.8,1297374.6
MAOA.1,119945.41,89558.61,211508.14,169449.5,3109325.8,2.5084054E7,2.268091E7,2392147.2,1.4543263E7,96704.71,9312000,1463046.6,463249.5,262653.78,434215.38,451250.8,31065.613,2312.813,207440.34,3488725
PTPN11.3,797591.1,2665668.2,956733.3,989232.7,2051416.9,9591800,1002031.25,1251004.1,3173567.2,1998735.8,1216589.1,1032275.1,3416716.8,2147478.5,1634221.2,1554328.8,718588.7,1163599.9,330007.25,2523335
KHDRBS3.1,26892.105,1.0304483E7,1253587.4,0,4076462,782881,919707.2,5531395.5,807631.5,3.1886852E7,2859720,1052091.8,2335539.8,1841988.9,3793382.2,42763.68,120.14196,7800915.5,816932.94,64635.91
LRPAP1.1.12;LRPAP1.1.15;LRPAP1.1.16;LRPAP1.1.20;LRPAP1.1.22;LRPAP1.1.23;LRPAP1.1.27;LRPAP1.1.32;LRPAP1.1.4,9699.654,60384.402,20706.26,6431137,154399.67,137537.66,800766.06,300093.34,1686335.2,6614392.5,1113547.2,2244136,126532.65,565422,30487.557,3050655.5,835472.3,322706.34,161324.12,625383.75
ALOX5.1;ALOX5.10;ALOX5.3,0,0,0,15.140671,1621.3602,385323.5,8918.43,425.0963,654.36255,799.2394,0,32422.213,0,0,10346.9375,784056.06,0,0,0,0
GRIA2.1;GRIA2.2,351188.88,24623.906,40651.31,30902.379,335508.8,68515.93,92687.4,356.55396,93295.91,95.99235,160648.12,1467.284,228717.3,3167.392,447667.44,1785.1716,34077.164,48199.414,119254.8,2163.9585
NT5C3B.1;NT5C3B.1.2;NT5C3B.1.3;NT5C3B.1.4;NT5C3B.1.5;NT5C3B.2;NT5C3B.2.2,546622.9,8335536,4385929,519014.9,9843208,1952665.2,5199166.5,5470571.5,3904082.8,3821158.5,7740715.5,3259164.8,6412072.5,3835480.5,5997187,1540903.8,2150572.8,394275.25,4995233,3213308.5
RBKS.2,1.821512E7,3.3533146E7,8347983,1.3227531E7,3.7178288E7,3.6210412E7,2.6318824E7,3.383976E7,3.5539988E7,1.6717182E7,3.4675804E7,2.5222952E7,1.7443612E7,2.2291722E7,2.4176184E7,1.5609645E7,1.9910704E7,7280298.5,2.1188302E7,2.3428848E7
DPH5.3;DPH5.4;DPH5.7;DPH5.8;DPH5.8.2,1999562,9344815,3619829.2,3359272,121930.15,1732988.6,2624916.8,9285785,3201640.8,1.2206602E7,3474270,2660307.8,740818.44,5509362.5,760537.9,1205573.9,1620025.8,4281716.5,1118822.5,2170313.8
FCGR3A.2;FCGR3A.5;FCGR3A.6;FCGR3A.6.2;FCGR3A.6.3;FCGR3A.6.4,3759.8425,4450.6357,6252.557,3115.9832,155999.72,375370.62,1361.7837,21060.477,1866.4038,380134.06,673.51733,405356.97,491.12933,328982.3,1076.956,455669.5,619.0479,4208.257,50879.242,10638.858
LAMP5.1.2;LAMP5.2;LAMP5.2.2;LAMP5.2.3,1.2195777E7,8950564,9829866,9262496,1.1851336E7,12171.485,2.9271148E7,1881610.9,1.0972889E7,2029469.4,1.2698108E7,3054185.8,9658574,1211330.2,1.1975254E7,7287.198,6045949,1107335.1,1.5333762E7,54260.617
ABLIM1.18;ABLIM1.18.2;ABLIM1.18.3,39807.93,496313.7,335827.1,173243.2,319544.4,148226.81,213550.62,278596.9,381899.38,247032.44,339193.34,66450.31,164695.9,208995.58,76732.24,2047.2319,164970.16,192506.34,157171.06,33870.84
BAG3.1;BAG3.2.3,47372.477,413401.22,100377.47,392346.97,217083.61,687867.1,780541,2714716.2,597668.1,176316.98,436659.12,996423.9,457316,2943937.5,438721.84,730363.1,117084.195,18338.684,6636.9014,320092.38
MAN2B1.1;MAN2B1.4;MAN2B1.4.2;MAN2B1.4.3;MAN2B1.4.7,5114.2285,1.4865588E7,6564759,6021958,1125835.9,1.4153454E7,1678407.6,9448929,1608015.9,2.427295E7,1156442.9,1.3791066E7,257924.1,8657751,738993.6,3.4081692E7,8050.7725,1.83619E7,400056.4,1.5318805E7
